Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric,131,-150,90,top
C2,4.7uF,C_0805_2012Metric,133.4,-150,90,top
C3,100nF,C_0603_1608Metric,107.8,-148.5,180,top
C4,100nF,C_0603_1608Metric,108.4,-141.4,90,top
C5,100nF,C_0603_1608Metric,120.9,-136.6,0,top
C6,100nF,C_0603_1608Metric,124.1,-140.8,270,top
C7,100nF,C_0603_1608Metric,120.2,-152.1,180,top
C8,100nF,C_0603_1608Metric,114.2,-136.6,0,top
C9,100nF,C_0603_1608Metric,156.1,-160.8,0,top
C10,4.7uF,C_0805_2012Metric,107.6,-146.5,0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135,-76,180,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-84,180,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139,-84,180,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127,-92,180,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135,-92,180,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143,-92,180,top
D7,LED_ALT,D_0805_2012Metric,103.2,-143.2,0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123,-100,180,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-100,180,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139,-100,180,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,147,-100,180,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127,-108,180,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135,-108,180,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143,-108,180,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123,-116,180,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-116,180,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139,-116,180,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,147,-116,180,top
D19,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,119,-124,180,top
D20,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,127,-124,180,top
D21,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,135,-124,180,top
D22,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,143,-124,180,top
D23,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,151,-124,180,top
D24,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,115,-132,180,top
D25,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,123,-132,180,top
D26,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131,-132,180,top
D27,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,139,-132,180,top
D28,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,147,-132,180,top
D29,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155,-132,180,top
R1,10K,R_0603_1608Metric,127.7,-137.7,180,top
R2,270R,R_0603_1608Metric,102.5,-146.7,180,top
R3,10k,R_0603_1608Metric,144.5,-161.8,270,top
R4,10K,R_0603_1608Metric,147.3,-161.8,270,top
R5,10k,R_0603_1608Metric,125.2,-143.4,0,top
R6,10K,R_0603_1608Metric,107.7,-144.6,180,top
U1,LM1117-3.3,SOT-223-3_TabPin2,133.2,-157.6,90,top
U2,STM32F401RETx,LQFP-64_10x10mm_P0.5mm,116.2,-144.3,180,top
U3,LM75B,SOIC-8_3.9x4.9mm_P1.27mm,157.2,-165.5,0,top
